,product_name,review_text,product_rating,review_date,avg_rating
0,"Galanz 6.5 Cu ft One Door Refrigerator, with Water Dispenser, Stainless Steel Look, Estar, New","[This review was collected as part of a promotion.] Galanz small refrigerator is awesome, its design is compact but with lots of room ! I just started using in as a second fridge in my garage . It's super quiet and temperature is perfect . It's also energy efficient. It has a water dispenser you fill with spring water ! Makes the water nice and cold ! It's a great fridge !",5,1/17/2025,4.777777777777778
1,"Galanz 6.5 Cu ft One Door Refrigerator, with Water Dispenser, Stainless Steel Look, Estar, New",[This review was collected as part of a promotion.] It is a lot bigger then I expected. I love the water dispenser and how easy it is to fill. It makes next to no noise unless your head is right by it. And it holds a lot of stuff we use ours as a drink fridge.,5,1/27/2025,4.777777777777778
2,"Galanz 6.5 Cu ft One Door Refrigerator, with Water Dispenser, Stainless Steel Look, Estar, New","[This review was collected as part of a promotion.] First of all I love the steel look to it , it makes it looks very nice and sleek. It did come with a dent on the top that does not affect how it works but disappointed on how it may have been handled by the courier which is not the company's fault . Overall it's a great fridge it's very compact and can fit anywhere . It's a great size with various shelves and a decent size freezer . The water dispenser works great and is easy to clean or refill and has a lock/unlock switch .",5,1/9/2025,4.777777777777778
3,"Galanz 6.5 Cu ft One Door Refrigerator, with Water Dispenser, Stainless Steel Look, Estar, New","[This review was collected as part of a promotion.] This 6.5 Cu ft One Door, with Water Dispenser, Stainless Steel, Energy Efficient Refrigerator holds more than I first imagined it would. I'm pleasantly surprised. It fits in a great small space in my kitchen. The noise level is very low to almost unrecognizable.",5,1/21/2025,4.777777777777778
4,"Galanz 6.5 Cu ft One Door Refrigerator, with Water Dispenser, Stainless Steel Look, Estar, New","[This review was collected as part of a promotion.] I received the Galanz 6.5 Cu. ft One Door Refrigerator with a water dispenser and stainless steel look from Influenster in exchange for an honest review, and I'm genuinely impressed with its design and functionality.

The compact size is perfect for smaller spaces like dorm rooms, offices, or game rooms, fitting neatly without taking up too much room. Despite its size, it offers excellent storage capacity with thoughtful organizational features, including three adjustable glass shelves, three removable door bins, a transparent crisper drawer, and even a separate freezer compartment for frozen food, ice cream.

One of the standout features is the built-in 2.5-liter manual-fill water dispenser. I love that it doesn't require any water pipe connection, making it super convenient and easy to use. The exterior design is sleek and modern, with a flat door panel and stainless steel finish that adds a touch of elegance to any room.

Another big plus is its energy efficiency—it's EStar certified, meaning it consumes less power while keeping everything perfectly chilled. It's also impressively quiet, which makes it ideal for bedrooms or shared spaces where noise could be disruptive. The adjustable thermostat and legs make it easy to maintain the perfect temperature and ensure stability on uneven surfaces.

Overall, this refrigerator is the perfect blend of style, functionality, and convenience. If you're looking for a compact, energy-efficient fridge with a modern design and useful features like a water dispenser, this is an excellent choice! Highly recommended!",5,1/24/2025,4.777777777777778
5,"Galanz 6.5 Cu ft One Door Refrigerator, with Water Dispenser, Stainless Steel Look, Estar, New","[This review was collected as part of a promotion.] The Galanz 6.5 Cu. Ft. One Door Refrigerator is an excellent choice for individuals or small households looking for a compact, efficient, and feature-packed fridge. The water dispenser adds a touch of convenience, and its energy efficiency makes it a cost-effective option in the long run. However, if you require a large freezer or larger storage capacity, you might want to explore other options. Overall, it's a great buy for its price and purpose.",5,1/22/2025,4.777777777777778
6,"Galanz 6.5 Cu ft One Door Refrigerator, with Water Dispenser, Stainless Steel Look, Estar, New",[This review was collected as part of a promotion.] The size is so great it is such a great deal I really love my new fridge it's also such great quality. I feel so lucky to be able to experience such a good product from here,5,1/20/2025,4.777777777777778
7,"Galanz 6.5 Cu ft One Door Refrigerator, with Water Dispenser, Stainless Steel Look, Estar, New","[This review was collected as part of a promotion.] it's a bit smaller than a usual fridge but it can still hold a lot! I love the water dispenser in the front, it's not taking too much space! I didn't expect there to be a freezer & although it's a bit small, it's still very nice & works well!",4,1/21/2025,4.777777777777778
8,"Galanz 6.5 Cu ft One Door Refrigerator, with Water Dispenser, Stainless Steel Look, Estar, New","[This review was collected as part of a promotion.] This is a decent size fridge that is 4' 1/2"" from ground to top.  It is quiet and can't hear hardly any sound.  It has a dial temperature control that makes it easy to set the temp you want.  Has a little freezer section on the top part.  Shelves are wide enough to hold 12 pack of soda, little harder to have 12 pack lengthwise as it sticks out into the door.  Only shelf that goes between door shelves will work to put 12 pack lengthwise. It has a plastic container hooked to the door to fill with water to be able to use the despenser in front of the door.  It's kind of a hassle to have to fill the water container.  This is a great as an extra fridge in my garage.",4,1/31/2025,4.777777777777778
9,"FarberwareHumidity Controlled Crisper Refrigerator, Stainless Steel",This fridge was the best purchase ever we use it for our daughter's IV hydration. We also bought it to keep all our seltzers and liquor that needs to be cold in the door. It's a multi used refrigerator at a fraction of the cost that you would pay to get a big one I feel like this is 6.2 ft.³ is amazing size the college ones were too small and I couldn't afford a big regular size fridge to me. It was the best fridge option for us.,5,12/24/2024,4.0
10,"FarberwareHumidity Controlled Crisper Refrigerator, Stainless Steel","We bought this for our  loft area and it great addition it nice to not have run down stairs  to get water in the middle of the night. The water tank and dispenser stand out as an exceptional feature, adding remarkable convenience and efficiency to the experience.",5,11/24/2024,4.0
11,"FarberwareHumidity Controlled Crisper Refrigerator, Stainless Steel",Replaced RV refrigerator with this one.  Love the water dispenser.  The fingerprintless finish on the door is great!  Interior layout makes for organization.  Price was excellent.  Delivery was perfect!  So glad you had this model that fit in my space!!!,5,9/5/2024,4.0
12,"FarberwareHumidity Controlled Crisper Refrigerator, Stainless Steel","I looked around the internet for a replacement for my 3.3 RCA Mini fridge and found this small refrigerator for about the same price. I am glad I was able to upgrade so much. It works very well and looks great too! I like the clear door for the freezer. The door shelves are wider than the picture shows. It is nice to have a light in the refrigerator, most mini fridge's don't have a light. The freezer freezes ice cubes very fast unlike most mini refrigerator's. It is only a little wider than my last mini refrigerator so it fits in the same place as the last one did. I would buy this refrigerator now if I was you before it goes out of stock or the price goes up.",5,9/7/2024,4.0
13,"FarberwareHumidity Controlled Crisper Refrigerator, Stainless Steel","So far so good. It has back wheels so you can remove the box and easily move it around the house. The front feet keep it in place once you put it where you want. 

Got cold very quickly. Quiet and attractive. I recommend it. Especially if you catch a great sale like I did.",5,12/29/2024,4.0
14,"FarberwareHumidity Controlled Crisper Refrigerator, Stainless Steel","I bought this primarily for the water dispenser to have near my desk but I also have kept yogurt in it.  I've had it for several months and it currently works great.  For the first month or so, it would leak a little bit of water into the tray beneath the dispenser between uses but it eventually stopped on its own.  The inside stays very cold and I've turned the temperature dial most of the way down now.  It was a good purchase for me and helps me remember to drink more water.",4,1/30/2025,4.0
15,"FarberwareHumidity Controlled Crisper Refrigerator, Stainless Steel",worked well untill we started to use the freezer which caused it to freeze over with thick ice which would then melt all over the hardwood floor. drip pan wasnt even fully attached to the bottom of the unit..and freezer door just fell off as i was taking a few pitures for the review...,2,9/16/2024,4.0
16,"FarberwareHumidity Controlled Crisper Refrigerator, Stainless Steel",Arrived damaged. Dent in door by hinge from hinge being shoved into door. Hinge was offset and door would absolutely not close. Still trying to figure a work around since I have limited mobility to return heavy item. Seems look a great product if it worked correctly and was I damaged,2,1/3/2025,4.0
17,"FarberwareHumidity Controlled Crisper Refrigerator, Stainless Steel","Received this scratched and dented.  I immediately contact Walmart customer service.  They told me they'd ""figure out a solution, such as a partial credit"" and get back to me.  Immediately I received an email that they were going to do nothing to compensate me.  Mind you, I purchased this and had it shipped because I don't own a vehicle that would be big enough to transport this.  Overall, IF it works it looks nice other than the damages to it.  The box obviously had been opened before, which I noticed immediately.  I tried to stop the Fedex driver to refuse it and he was already gone.",1,9/26/2024,4.0
18,"FarberwareHumidity Controlled Crisper Refrigerator, Stainless Steel","The refrigerator is great. When it was delivered it had many dents in it. The freezer door is cracked. The seal doesn't seal correctly because of the dents. Door kept falling off due to damages. I have emailed with no response as of yet. I am unable to return it to the store due to Its too big for me to handle. I explained that in the email as well, I requested to send me a freezer door and still no response. Happy with the item but very disappointed in the damages to it along with being very disappointed with their customer service!",1,12/12/2024,4.0
19,"Tacool 2.4 Cu.ft Mini Fridge with Freezer, Small Refrigerator Apartment Size Fridge Black, NEW","I love this refrigerator! It works great! I have it in my bedroom and it is extremely quiet. I never hear anything. If you're looking for a small refrigerator, this is a great one!",5,1/26/2025,4.5
20,"Tacool 2.4 Cu.ft Mini Fridge with Freezer, Small Refrigerator Apartment Size Fridge Black, NEW",Just the right just plug in and it got cold within minutes,5,10/12/2024,4.5
