,product_name,review_text,product_rating,review_date,avg_rating
0,"Restored Playstation 2 Slim Console PS2 System, Reshelled (Refurbished)",,5,2/9/2025,5.0
1,PlayStation 5 Digital Console Slim,Actually i dont know anything about gaming. I bought this for my son for his birthday. I looked on target and then Walmart and Walmart had it before target the one near me so I decided to order it. It was actually really nice cause it was ready like I said less than an hour.,5,8/19/2024,4.7
2,PlayStation 5 Digital Console Slim,Price is still very high. I think Walmart should do better deals when it comes to game consoles. The PlayStation 5 is a multi million sold product with other products in the store I think it would be okay to lose some profit to make more profit.,5,9/19/2024,4.7
3,PlayStation 5 Digital Console Slim,affordable price and quality of product was better than expected. overall was a great experience and glad there were no complications with my order or at checkout.,5,8/4/2024,4.7
4,PlayStation 5 Digital Console Slim,"This review is short because I am not reviewing the PlayStation itself. It works exactly as advertised and shown through various videos online. As for buying through this Walmart seller, I got exactly what I ordered and the box was discreet. The PS5 box was sealed and nothing inside indicated it had been opened before. Started with no trouble. I'm writing this a few days after setting it up and have no complaints. Shipping was suuuper quick! Only complaint is Sony not making this coming in multiple colors!",5,1/4/2024,4.7
5,PlayStation 5 Digital Console Slim,"I love this ps5, I added the disc player to it because I had a bunch of ps4 games and movies so adding the disc player was very easy to do, cost 70 extra to add it. Only thing I would say is I would get more memory space since this only came with 800 something GB. But I can add more memory internally of needed but it will cost about 300 for 4 TB's",5,2/28/2024,4.7
6,PlayStation 5 Digital Console Slim,Now this goes for all consoles when you switch. Unless you had a PlayStation Account in the past WITH games your gonna have no games. So when you buy this make sure to get a game. Besides that good console. Compared to the OG PS5 it's way smaller but runs the same. Way more compact and good for a small desk.,5,12/24/2023,4.7
7,PlayStation 5 Digital Console Slim,Had one in the past. Price was one the same as any other site where I could find it . It was convenient to order from Walmart,5,9/8/2024,4.7
8,PlayStation 5 Digital Console Slim,My package was suppose to come between 11am-3pm saturday and i never received but a representative told me that the driver said they asked the “customer” to verify their information and gave it to a young female. Me %26 my grandmother are the only ones that live in her home and neither of us received this package and in the picture i dont see a face or nothing even the clothes the individual is wearing is not mines %26 there hands are bigger than mines and they are darker than me. Walmart is very unprofessional and told me there is nothing they can do about it but i will sue you guys if im not accommodated i spend my money online shopping all the time and never have any issues i received all of my orders but this one no one in the neighborhood knows my information to verify anything and my grandma didnt know i ordered this package the least you guys can do is reship the item ATLEAST. How is it my fault i paid almost $500 for an order and you guys tell me there is nothing you can do but then when you get a lawsuit coming its a problem but next time tell your drivers to verify the information before handing a stranger my order %26 tell the truth and give me a description of who you guys gave the order to. Also showing photos because my hands are smaller than whoever this is and i have long small braids in my head with pink almond shaped nails.,1,1/17/2024,4.7
9,PlayStation 5 Digital Console Slim,"When i received the playstation and took it out of the box the safety seal was broken, the top was open and it was damaged on the sides of the box. I'm hoping this item wasn't returned and works properly because I intend to give it as a gift. Walmart needs to make sure online shoppers aren't being shipped open items because we do have options to return the item and prefer not to have to be bothered with the hassle of standing in a long line to return something that should be sealed and unopened. Its an inconvenience and it defeats the purpose of online shopping. Something that cost almost 500 dollars should be sealed and new. I'm hoping this works because 
I don't want my child to be disappointed on Christmas Day. This seems to be an issue another shopper had as well. This will be my last large purchase from Walmart due to this disrespectful move on their behalf. Items shipped to customers need to be new unopened and sealed, not damaged on the box and opened. This was not damaged during transit. It was placed in the box like this.  I didn't pay for an open box item and should not have received it in that condition.",1,12/20/2023,4.7
10,PlayStation 5 Digital Console Slim,Issues getting delivers issues using app issues with contacting anyone issues were made in your end that caused delivery to be denied. Nothing was right.,1,10/19/2024,4.7
11,PlayStation Portal Remote Player for PS5 Console,"yes you can use your phone for remote play but it just feels clunky and odd.  using the portal feels like using a ps5. the lag is Noticable on occasion.  i wouldn't use it to play COD or TEKKEN but i would use it for god of war and 1 player games similar to that.  it's it still worth 199?!? 150 would be the sweet spot,  but it's Sony being Sony.",5,12/13/2023,4.4
12,PlayStation Portal Remote Player for PS5 Console,Been really hard to fix a bundle with both controllers. It was a sigh of relief to see that Walmart had all I needed. It was so good I brought the ps5 portable too!!!!!,5,9/17/2024,4.4
13,PlayStation Portal Remote Player for PS5 Console,"Was able to get this through the HotStocks App just in time for Valentine's Day. Only concern is they didn't put any padding between the shipment box and the box for the portal itself and there was a considerable amount of room between them. And the Portal itself wasn't padded either, which is odd considering how much I paid for shipping.",5,2/12/2024,4.4
14,PlayStation Portal Remote Player for PS5 Console,"Overall it is handy but not perfect. The joysticks make ticking/clicking sounds in a certain direction, something is hitting inside. Adaptive triggers make super loud vibrating noise but can be weakened/disabled in the settings.
Also even though I have a hardwired PS5 and have a high-end router nearby in a congestion-free channel, there is a minimal stutter in fast-moving scenes. Remote play on PC and other devices is always smooth, PS Portal is not when it should be.
All issues mentioned above are very common if you search online.
I will be returning mine and then wait for SONY to fix these issues. My suggestion - ignore PS fanboys blindly buying this thing. Study your network settings and research the fixes for the issues mentioned before purchasing it.",2,12/5/2023,4.4
15,PlayStation Portal Remote Player for PS5 Console,Don’t trust Walmart anymore my order never arrive and they haven’t don’t nothing to help me really disappointed about Walmart they really don’t support their customers or issues with orders I won’t buy my stuff from Walmart anymore is a waste of time and money,1,3/3/2024,4.4
16,PlayStation Portal Remote Player for PS5 Console,"I ordered this and recieved wrong item i chatted with an agent and was told ""KEEP WRONG ITEM REFUND WILL BE PROCESSED NOW"" i was lied to and now i jave to wait 14 business day because of walmarts errors. I asked to return wrong item instore and was denied that too. I asked for a $20 gift card for this SERIOUS INCONVIENCE AND WAS IGNORED!!!!! SO MUCH FOR MY CHILDS CHRISTMAS PRESENT THANKS WALMART FOR CRAPPY CUSTOMER SERVICE",1,12/4/2023,4.4
17,PlayStation Portal Remote Player for PS5 Console,"You would think it will connect to a WiFi, no matter if it’s strong, it’s constantly disconnecting and connecting. It’s so frustrating. PS5 needs to make the device to connect to any strength. Or otherwise, the portal is useless. I would have given no stars; it doesn’t deserves any to begin with.",1,1/30/2024,4.4
18,PlayStation Portal Remote Player for PS5 Console,It is ridiculous that walmart is able to sell the playstation portal to a 3rd party and then buy it back to sell it at a markup. I'm pretty sure that is illegal. Will no longer be giving walmart my business.,1,1/12/2024,4.4
19,PlayStation Portal Remote Player for PS5 Console,"The item itself was fine. 

Here was the issue I had with the seller. I bought the play station portal for over a triple markup with 2 day shipping on Dec 19. (I knew what I was paying for, which was to have the item by Christmas. It was my child's Christmas gift. 

The seller waited 3 days to ship the item. 
It arrived 4 days after Christmas Dec 30.

Multiple attempts to contact the seller were unsuccessful.

They should not be listed as a pro seller on this site. 

Again,  no issues with the item, but I paid a HUGE premium markup to get it by Christmas. 

I should get that extra that I paid back, like I should only be charged retail price for the item but I doubly they will correct it %26 I'll have to eat the cost .",1,2/9/2024,4.4
20,PlayStation Portal Remote Player for PS5 Console,"thebestofthewest 3rd party seller AVOID!!
will not refund even though havent recieved item! 
also walmart will not refund cause they dont guarantee anything by third party on their marketplace.

if you can buy from anywhere even the gutter, go ahead and get it there you will have better luck with customer service",1,3/13/2024,4.4
21,PlayStation 5 Disc Edition – Fortnite Cobalt Star Bundle,I had a hard time finding the console with a disc version available and walmart had it for a decent price. It was also shipped nicely with no damage on the packaging.,5,11/27/2024,4.7
22,PlayStation 5 Disc Edition – Fortnite Cobalt Star Bundle,"The sticker that came with the Fortnite bundle when you scratch it off you almost risk scratching the numbers off, and the previous comment I made was about a different order. This order was amazing. All the employees were amazing.",5,11/29/2024,4.7
23,PlayStation 5 Disc Edition – Fortnite Cobalt Star Bundle,Christmas gift I don't think my husband has a clue for a man that never asked for anything I heard him say he would like a new 1 so I'm excited to see his face Christmas morning,5,12/1/2024,4.7
24,PlayStation 5 Disc Edition – Fortnite Cobalt Star Bundle,"AMAZING! I used to be an Xbox fan! And I was debating between both ps5 and the Xbox series x. I decided to go with the ps5, I was regretting my decision once I seen how much a new controller would be. But then I decided to give a chance I already bought it might as well try it out. I played the robot Ps5 game they have for you and it lets you use your new controller with every function possible. SOLD ME RIGHT THERE! I felt like a kid in a candy shop! THAT CONTROLLER WAS WORTH EVERY DOLLAR! The advanced technology they put into their controller ! WOW! I DONT REGRET IT ONE BIT I RECOMMEND IT 1000%",5,1/22/2025,4.7
25,PlayStation 5 Disc Edition – Fortnite Cobalt Star Bundle,I love the system. Only issue was the box my ps5 was shipped in. The shipping box was twice the size of my ps5 box. If there would have been some kind of packing material to keep my system from flopping around inside of a shipping box that would have been great. Please think about the security of the item. How would you like your things shipped to you?,5,12/2/2024,4.7
26,PlayStation 5 Disc Edition – Fortnite Cobalt Star Bundle,"Never received item was very excited , the driver named jeffrey took a picture of a white wall with no numbers  saying it was delivered and i missed the deal. could not reorder walmart kept cancelling order. he most likely stole it. last time i order from walmart online .",1,12/3/2024,4.7
27,PlayStation 5 Disc Edition – Fortnite Cobalt Star Bundle,"Terrible shipping!!! Thrown in a box with NO padding, etc and the seal on the ps5 box was broken!! We returned same day, not going to deal with this nonsense.",1,11/28/2024,4.7
28,PlayStation 5 Disc Edition – Fortnite Cobalt Star Bundle,"Having a box arrive looking like it went through a wood chipper is very discouraging after buying this to replace the previous PS5 bought 4 days before Christmas from Walmart that quit working 15 min into Christmas Day. 
Not only is the Walmart box that it arrived in totally mangled but the box that holds the PS5 in it has a huge puncture through it, fortunately it seems whatever pierced through the box missed the console by a few centimeters. Hopefully this one will last longer than the last at a whopping 4 days of use.",1,1/15/2025,4.7
