,product_name,review_text,product_rating,review_date,avg_rating
0,"Pure Life Purified Water, 16.9 Fl Oz / 500 mL, Plastic Bottled Water (35 Pack)","Thank you so much for supporting our Veterans.  My father who is 92 years old now served in the Korean War so, this really is personal to me.  In the past, we had purchased PureLife water but, most recently because I was having challenges getting cases of Walmart's Great Value Cases of Water, we purchased it again.  I truly believe everything happens for a reason and, we will make PureLife Water a part of our commitment now.  I drank a bottle and was reminded of why we purchased it in the past.  Our family are Fans of the best way for Healthy Hydration, PureLife Purified Water.",5,9/3/2024,3.4
1,"Pure Life Purified Water, 16.9 Fl Oz / 500 mL, Plastic Bottled Water (35 Pack)",So I honestly feel a bit silly writing a review about water but here it goes.. I will say I enjoy the taste of Nestle water. The problem with the product lies within the way the bottles are made. I can appreciate the company trying to cut back on plastic usage however these bottles are so thin and flimsy they don't stand up straight on a flat surface. I thought at first I received a case that was maybe crushed or damaged but upon further inspection realized that was not the issue. The bottles lean sideways from the middle and don't stand up straight on the counter or in the fridge. They easily topple and spill which is quite the pain and inconvenience. I probably won't buy this brand of bottled water again.,3,5/21/2024,3.4
2,"Pure Life Purified Water, 16.9 Fl Oz / 500 mL, Plastic Bottled Water (35 Pack)","I've bought this brand of water twice. Both times because Deer Park wasn't available to me, but about a year apart. Both times I got them, the bottles were so damaged on the bottoms that they won't stand up on their own. You can't even force them to stand up. You have to either lay them down or lean them up against something. I put this one in a cup to take the picture. I don't know if they make them this way on purpose or not. What are the odds that I'd get a bunch of bottles all warped on the bottoms both times I bought them and a year apart from each other? Like, it wasn't just one damaged lot, but seems to be the way they make them.",2,7/12/2024,3.4
3,"Pure Life Purified Water, 16.9 Fl Oz / 500 mL, Plastic Bottled Water (35 Pack)","I had ordered (2) 35 bottle deer park water bottles  but I guess they were out. I was asked by shopper about my replacement Pure Life, I couldn't respond because there was a technical issue on the Walmart app. I wasn't happy with the selection of Pure Life Purified Water, I had rather gotten a refund to buy what I like the next time, since 35 Deer Park was out of stock.",2,6/29/2024,3.4
4,"Pure Life Purified Water, 16.9 Fl Oz / 500 mL, Plastic Bottled Water (35 Pack)","I had to switch brands away from Pure Life Purified Water. The plastic bottles are made with a very thin plastic material. The last three cases I bought had the bottoms distorted so bad they would not even stand up. I had to pour the water into a class. Also, the neck on some bottles were bent so bad the lid was touching the side of the bottle. Some bottles came without a label wich to me is a red flag for tampering so I had to pour the water down the drain. I will never buy this brand of bottled water again.",1,10/24/2024,3.4
5,"Pure Life Purified Water, 16.9 Fl Oz / 500 mL, Plastic Bottled Water (35 Pack)","II asked items to be delivered to the door. They were left at the bottom of 8 steps not on porch. The water is still setting in driveway. And will stay there until I can get someone to carry it in. If it had been left on my porch I could have opened it and carried in a few at a time. I am 70 and have had back surgery. 
Thank you",1,6/23/2024,3.4
6,"Pure Life Purified Water, 16.9 Fl Oz / 500 mL, Plastic Bottled Water (35 Pack)","Arrived at the store at 11:35 . 
Someone brought out ONE case of water and placed it in my trunk .  I told him that i purchased 6 cases of water . He then asked to see my online receipt online .he then proceeded to say that he was going inside to get the rest of the water . I then watched multiple men bring out 8 curbside orders not including my order . 
I called the curbside number and told them that i was still waiting , it wasn't until i asked to speak to a manager that my water was brought out . I had been parked since 11:35 ! 
12:17 and i just got the rest of my order .. 
HORRIBLE CUSTOMER SERVICE",1,4/19/2024,3.4
7,"Pure Life Purified Water, 16.9 Fl Oz / 500 mL, Plastic Bottled Water (35 Pack)",Lakeisha was rude she text me to come outside I went on the porch and told her she can come in through the door to get to the front door of my apt I was putting on my shoes and I heard a loud thump she dropped my stuff on the porch and busted the water on the bottom and took off I have ordered from Walmart 4 times this month and have had no problem with delivery to my front door before she was rude and please I do not want her coming again. I was missing an item but called Walmart and gentleman was very nice and fixed it.,1,4/7/2024,3.4
8,"Pure Life Purified Water, 16.9 Fl Oz / 500 mL, Plastic Bottled Water (35 Pack)",my order is never correct and the shoppers give you what they want and not what you adked for and the quantity is always different.I will never online shop at walmart again.you pay for something and dont recieve it or they replace it with something else you ordered by adding more of it smh.,1,11/13/2023,3.4
9,"Pure Life Purified Water, 16.9 Fl Oz / 500 mL, Plastic Bottled Water (35 Pack)","I want to ask you to be very careful, check the water they sent me, there must be more in that batch of drinks, I took half a bottle because I was thirsty and the water has a very bad taste, bad smell, I would believe that it had exposure to the sun or something similar, I will definitely throw it away and I will order another brand",1,7/16/2024,3.4
