,product_name,review_text,product_rating,review_date,avg_rating
0,Microsoft Xbox Series S – 1TB White,The series S will set you up to game for years.  Add game pass ultimate and for less than the cost of a good lincy you will have hundreds of hours of fun a month.  The S with a terrabyte of storage is the perfect gateway to the world of xbox!,5,10/31/2024,4.8
1,Microsoft Xbox Series S – 1TB White,"Ordered Xbox series S, received a PS5 controller instead. Called customer service, ended up overseas with some idiot that don't understand what happened. Meanwhile I'm forced to dispute the charges with my credit card company because the idiots in customer service say the package was delivered. I never said I didn't get a delivery...I said you delivered the wrong 💩❗",5,12/17/2024,4.8
2,Microsoft Xbox Series S – 1TB White,"This product is absolutely amazing, the loading times are great, graphics are wonderful and it is silent. It doesn't sound like a jet engine going off like a PS4. Absolutely love it. This product is absolutely amazing, the loading times are great, graphics are wonderful and it is silent. It doesn't sound like a jet engine going off like a PS4 absolutely love it.",5,2/1/2025,4.8
3,Microsoft Xbox Series S – 1TB White,"This console works fantastic. I was easily able to download the games I had on my Xbox one s and they perform just as good or better on this console. 

I definitely recommend getting the 1tb model, now that it's available. I've been waiting for a while for it to come out. Only 800gb is available to use out of the 1tb, so I can only imagine how much is available to use with the 512gb model.",5,11/1/2024,4.8
4,Microsoft Xbox Series S – 1TB White,"This product was the least expensive from the sources I checked and is very good quality, arrived on time for Christmas and am pleased with the purchase.",5,12/11/2024,4.8
5,Microsoft Xbox Series S – 1TB White,Bought this for my son's birthday and he is thoroughly content with it. He was happy that there is a 1T Series S now since he has game pass and prefers to purchase digitally. It's a satisfying alternative to the Series X.,5,11/23/2024,4.8
6,Microsoft Xbox Series S – 1TB White,"Super small and compact, quiet and enough storage to get the games in that you wanna play. Love how the design is and the fact that it doesn't take up much space at all. Definitely would recommend getting the 1TB model over the 512GB",5,1/14/2025,4.8
7,Microsoft Xbox Series S – 1TB White,"My son absolutely loves it
It's easy to use even for newbies playing for the first time 
Arrived several days before the estimated time of arrival",5,11/2/2024,4.8
8,Microsoft Xbox Series S – 1TB White,"We paid for a “new” Xbox Series S but when our son set it up, there was a previous owner's user profile on the machine. There was also a game downloaded. Clearly the machine had been used and returned. Buyer beware!",3,12/29/2024,4.8
9,Microsoft Xbox Series S – 1TB White,"Somehow, an unauthorized purchase of $74.99 was made on my card following this purchase. The amount posted from ""Xbox live"", but i did not purchase anything from Xbox Live. So I am unsure how they got my card information after I made this purchase with Walmart. I did not authorize Xbox Live to make any purchases, and i did not purchase anything from Walmart other than the Xbox console. I am actively reporting the $74.99 amount as fraud and i do not know how or why this charge was made.",1,12/23/2024,4.8
10,Microsoft Xbox Series X – 1TB Digital Edition,Very happy with the purchase.I love the design and color of the Digital Xbox One X 1TB system. I own a lot of Digital Games.  I can watch movies and play games without getting up to change the disc. Can play a lot of great games with the GamePass subscription.,5,11/3/2024,4.7
11,Microsoft Xbox Series X – 1TB Digital Edition,I was waiting on this version Im tired of the disk.,5,11/4/2024,4.7
12,Microsoft Xbox Series X – 1TB Digital Edition,Just as powerful as the disk version but a bit lighter which is expected with no disk drive. super easy setup and the thing loads INSTANTLY for most of my games. grab it when theyre on sale like i did though otherwise the disk version is the same price as digital,5,12/29/2024,4.7
13,Microsoft Xbox Series X – 1TB Digital Edition,"This Xbox is amazing! I upgraded from the Series S for several reasons: In preparation for GTA VI, more storage, better graphics, and so on. The X has not failed to impress. I love the capabilities of the more powerful console and am blown away by its performance with better graphics @ higher frame rates. The design of this Xbox is very reminiscent of the Series S. I love the white color. It is very clean and a nice upgrade from the original X. Overall, I'm very impressed and love this purchase!",5,12/14/2024,4.7
14,Microsoft Xbox Series X – 1TB Digital Edition,"To be honest, this wasn't a gift for me, it was for my husband. His last xbox was 6 years old and really slow, he didn't enjoy playing it anymore because of how slow it was so I was excited to give him a brand new one. He loves it. He spends most of his time showing me how good the graphics are and it brings me so much joy to know he's finally enjoying playing games and relaxing again.",5,12/10/2024,4.7
15,Microsoft Xbox Series X – 1TB Digital Edition,"A few days ago, I bought an Xbox from Walmart specifically to play Stalker, and I'm absolutely satisfied with my purchase! The build quality of the console is excellent, and in terms of graphics, it's on par with the PlayStation 5. This is my first time owning an Xbox, and I'm really impressed. The model I purchased is the Digital Edition 2024, and it works perfectly. I highly recommend it to anyone who loves gaming!",5,11/22/2024,4.7
16,Microsoft Xbox Series X – 1TB Digital Edition,"If You Hook this Up too a 4k TV DO NOT enable 4k on the Xbox,Let your TV do the 4k Up sampling as this will provide Better colors and Much Sharper Image quality,Took me a few days too figure why setting the Xbox too 4k would make the games LOOK blurry and Dull. Set Your Xbox too 1080p and let your Tv do the Up sampling.",5,1/1/2025,4.7
17,Microsoft Xbox Series X – 1TB Digital Edition,"I would say 3.5 maybe. I guess I should have done more research. The main issue is as much as 1TB of storage sounds, first off you only get 802GB of user storage and Call of Duty 6 with only 6 of ten game items installed is 307.5 GB! 

The storage is expensive so, I don't know if the disk version would have been a better choice but, I'm looking into that with the 2TB.",3,12/10/2024,4.7
18,Microsoft Xbox Series X – 1TB Digital Edition,"i purchased an xbox for my son for Christmas and checked off the ""gift"" option when i checked out. It was delivered as is, in the original Xbox packaging. Not even put in a large bag or box to hide the ""gift"" Now my son knows what he's getting for Christmas and the surprise Christmas gift from Santa is ruined",2,12/3/2024,4.7
19,Microsoft Xbox Series X – 1TB Digital Edition,FedEx delivered the package open and items were also opened. The boxes appeared like the fell.out of a truck. These were gifts for my kids and now it's ruined. I can't believe that Walmarts carriers would accept to drop a package in that condition. The driver didn't care and he is on my security cameras proceeding with dropping off the products in a damaged state.,1,12/4/2024,4.7
20,Microsoft Xbox Series X 1TB Carbon Black,"Xbox series x, has been well with the money and become even an investment, that my whole family loves and enjoys, it has given my children something to look forward to, and helped pull them out of extreme depression, having opened doors for them to vent. No Regrets here, the company shipped my Xbox fast, and wrapped it very well, to protect it from damages or being tossed about. Would give them a 5 of 5 as well.  Would purchase again.",5,2/9/2024,4.7
21,Microsoft Xbox Series X 1TB Carbon Black,"I was on the fence about purchasing the Xbox Series X because I hardly play my PlayStation 4. So far I have been impressed and very entertained by this console. I would say Microsoft made a great device that pacts a lot for someone wanting to play new and older generation games, stream and play 4K films.",5,12/30/2023,4.7
22,Microsoft Xbox Series X 1TB Carbon Black,Works great very fast shipping id like to thank Walmart for the discount with tax and everything is was 372 dollars out the door for a 500 dollar console! Great deal!!! I know I’m a little late to the party I had bought one when they came out but I had to sale. Glad to have one again thanks Walmart for the fast delivery received it on the same day I bought it!,5,12/15/2023,4.7
23,Microsoft Xbox Series X 1TB Carbon Black,"I ordered my daughter an Xbox series x for Christmas for sand day delivery. The driver stole it and took a picture or random parked cars as his proof of delivery while I stood outside waiting for him at my door that he never came to. I ordered from Amazon instead with money I didn’t have because although I provided proof of the order never actually being delivered, the refund took 7-10 business days so it wasn’t refunded till now (after Christmas). I just ordered groceries (only $16 and some change worth) and thought I would be ok because it’s not a big ticket order. Nope, the driver just stole my order AGAIN. First Alexander with the series x and now Jade with my raviolis and sauce. I will be canceling my Walmart plus and not ordering from them again. I’m disgusted!",1,12/29/2023,4.7
24,Microsoft Xbox Series X 1TB Carbon Black,"Package was severely damaged.  Doubt the unit would have worked. Went to exchange at store. They would not exchange, but would have to issue a credit and I would I have to buy again. The credit would not appear back for a few days. Buy from Amazon or Best Buy.",1,12/17/2023,4.7
