,product_name,review_text,product_rating,review_date,avg_rating
0,Dogg Supply by Snoop Dogg Men's Original Oversized Wearable Blanket with Kangaroo Pocket,This Snoop Dogg blanket hoodie is a family favorite for our kids as we travel or just lounging on the couch at home. This is a large or extra large and meant to be oversized. The fabric is super soft and quite warm. I don't you can go wrong with this for a gift. The price point is very affordable which is an added bonus. We are excited to use this when winter is upon us!!!,5,11/4/2024,4.8
1,Dogg Supply by Snoop Dogg Men's Original Oversized Wearable Blanket with Kangaroo Pocket,"My teen tried this on in a small- medium and the fit was great. The material is ridiculously soft and fuzzy! Softer than most blankets, so this would be perfect to snuggle up in to relax or sleep. The material, while super soft, was a bit heavy for his taste, so it's probably only something he would use when it's super cold outside. This would be great for wearing around the house, or even outside on super cold days.",5,11/11/2024,4.8
2,Dogg Supply by Snoop Dogg Men's Original Oversized Wearable Blanket with Kangaroo Pocket,"I am 5-7 and wear L TO XL. This is a L-XL jacket. What a cool product. Long, warm but not too heavy. No messy zippers just pull it over like a hoody and sit by the fire. Has large pockets that could carry the kitchen in them. Depending how long you want it you could chose the size that suits you best. With a variety of designs this is truly a fun item that could be worn out everyday or for camping type events or at home",5,11/14/2024,4.8
3,Dogg Supply by Snoop Dogg Men's Original Oversized Wearable Blanket with Kangaroo Pocket,This blanket style sweatshirt is the next best thing to a Snuggie. This sweatshirt is super long and its length hits about the knees. This also has a hood which is a bonus. Material is black with a white design print throughout. My grandpa is six foot six inches tall and 250lbs. He has this in a size large extra-large. This and he loves wearing it on the couch when it's cold outside.,5,11/14/2024,4.8
4,Dogg Supply by Snoop Dogg Men's Original Oversized Wearable Blanket with Kangaroo Pocket,"I love my Snoop Dogg Oversized Blanket Hoodie! This hoodie is the truth. It's very comfortable, soft and the oversized hoodie completely covers my face and put me in do no disturb mode. I'm 5'11 235lbs, and bought an XL, but an L would have worked just fine. I plan to purchase another one and I highly recommend to purchase. Great price!",5,1/12/2025,4.8
5,Dogg Supply by Snoop Dogg Men's Original Oversized Wearable Blanket with Kangaroo Pocket,"Love this fleece-like thing. I live in a state that is not ultra cold in the winter, but cold enough. I've fallen asleep with it on a couple of times. I have two of these as gifts for Christmas, and they said it was a great, thoughtful gift, too. I highly recommend these.",5,1/10/2025,4.8
6,Dogg Supply by Snoop Dogg Men's Original Oversized Wearable Blanket with Kangaroo Pocket,"I got a size S/M for my 13yr old son. He's tall and thin. About 115lbs and 5'6"". This is pretty big on him, but it's supposed to be big. Like a blanket. He loves it!! He put it on as soon as he opened it on Christmas day and wears it all the time! It's VERY thick, puffy, and soft! It has a hood too. It seems very well made and washed well. Great item for a great price!",5,1/6/2025,4.8
7,Dogg Supply by Snoop Dogg Men's Original Oversized Wearable Blanket with Kangaroo Pocket,"So exciting that Snoop Dogg has his own line of clothing now. This oversize blanket hoodie with pouch was so soft and comfortable. My husband said he didn't want to take it off as it felt like he was wearing a blanket. He normally wears an adult medium, and this size fit him well with plenty of room to have clothing on underneath. He said he was looking forward to wearing this on the couch and relaxing in it.",4,11/14/2024,4.8
8,Dogg Supply by Snoop Dogg Men's Original Oversized Wearable Blanket with Kangaroo Pocket,"This item is honestly like wearing a full fleece blanket. My husband is wearing a large and it looks like a triple X. It is incredibly warm and would be perfect for sitting on the couch and watching a movie, I doubt he would ever wear this out of the house because it looks pretty ridiculous on him.  so my recommendation would be if you want a wearable blanket by this, but if you wanna be in public definitely don't",4,11/10/2024,4.8
9,Dogg Supply by Snoop Dogg Men's Original Oversized Wearable Blanket with Kangaroo Pocket,"great gift. but recommend checking before gifting, mine that i gifted had stains on the item. i never took it out the plastic that it came in, and came with the stain..with the material and color of stain might not be able to get out, without ruining the item",4,12/25/2024,4.8
10,"Gildan Unisex Heavy Blend Fleece Full Zip Hooded Sweatshirt, Size Small to 3XL","this particular seller's hoodie is a tiny bit better quality  than if you buy it from another place   the one I got was a slight bit better than qualities elsewhere  of same product was it worth the extra money for the slight bit of quality ,  the extra quality I don't think is worth the extra money ,  but it's subjective  if you want a tiny bit better quality  Nobody makes anything like they used to  Heaviness and quality",5,12/11/2024,4.6
11,"Gildan Unisex Heavy Blend Fleece Full Zip Hooded Sweatshirt, Size Small to 3XL","This is a great little hoodie. I buy men's because they just seem to fit me so much better and they're so much more comfortable than women. When you get bigger and older, you look for things that are comfortable and fit you kind of loose. I just love how this one feels. It's not exactly for winter, but it's a great hoodie to wear like under a jacket to work I know for sure I will be wearing this before spring breaks.",5,12/18/2024,4.6
12,"Gildan Unisex Heavy Blend Fleece Full Zip Hooded Sweatshirt, Size Small to 3XL",Arrived fast very bright and thicker then most hoodies. Did ok being washed and dried didn't seem to shrink or loose color. Happy with my purchase. Would recommend it to others.,5,1/7/2025,4.6
13,"Gildan Unisex Heavy Blend Fleece Full Zip Hooded Sweatshirt, Size Small to 3XL","good for around the house and layering under my jacket. the fabric is thin so it will not work alone on a cold day, but works well for working out. not to heavy.",5,1/1/2025,4.6
14,"Gildan Unisex Heavy Blend Fleece Full Zip Hooded Sweatshirt, Size Small to 3XL","have a hard time finding anything that fits his broad shoulders, and is still not so thin its piontless to wear. He loves it and wants more in different colors.",5,1/21/2025,4.6
15,"Gildan Unisex Heavy Blend Fleece Full Zip Hooded Sweatshirt, Size Small to 3XL","I returned this item,but found nothing wrong with it .I was trying to get matching hoodies and pants for myself and someone else. The hoodie was just too long for me and the Gildan pants had no pockets.",5,2/3/2025,4.6
16,"Gildan Unisex Heavy Blend Fleece Full Zip Hooded Sweatshirt, Size Small to 3XL",I purchased this sweatshirt to make a custom sweatshirt for my nephew's birthday. The quality was great for the price that I paid and the heat press vinyl stuck to it with no issues. I would definitely purchase again.,5,11/12/2023,4.6
17,"Gildan Unisex Heavy Blend Fleece Full Zip Hooded Sweatshirt, Size Small to 3XL","Description is misleading, in no way is this heavy weight. However, my expectations were low before I ordered, and having said that, it's alright for a thin, zip-up hoodie and approximately what I was expecting when I placed my order. Definitely not the old-school Gildan quality, but works for what I wanted, something lightweight to wear around the house and out and about for errands.",4,1/5/2025,4.6
18,"Gildan Unisex Heavy Blend Fleece Full Zip Hooded Sweatshirt, Size Small to 3XL","You must have changed your product line.   The zipper is inferior to the previously used zipper.  I've been buying Gilden hoodies for years- this one imo is comparable to Kmart quality, less than good.  

Also, please go back to all cotton, the synthetic crap sux",4,1/7/2025,4.6
19,"Gildan Unisex Heavy Blend Fleece Full Zip Hooded Sweatshirt, Size Small to 3XL","it is advertised as heavy and fleece lined. In reality, it is a light jacket, with a little fuzz in the inside of the material. It is not being given as the gift I wanted it to be. i foubd ine at Family Dollar that is better quality fir half of your sale price.",2,12/23/2024,4.6
20,"Wrangler® Men's Hooded Pullover, Sizes S-3XL","100% COTTON KNIT / NOT TOO THIN, NOT TOO THICK / EXCELLENT CRAFTSMANSHIP / BEAUTIFUL COLORS / MACHINE WASH%26DRY WITH MINIMAL SHRINKAGE AND RETAINS SHAPE VERY WELL / SUPER COMFORTABLE...

I PURCHASED 6 COLORS AND AM SORRY I MISSED OUT ON THE OTHER 4 COLORS...

MADE FOR MEN, BUT I LIKE IT TOO!",5,1/23/2025,4.7
21,"Wrangler® Men's Hooded Pullover, Sizes S-3XL","100% cotton. Great fit for a muscular body. I travel a lot and it's perfect for any climate, as a layer as outerwear, or on it's own. It's light and soft, and it takes up very little space in a suitcase.",5,1/1/2025,4.7
22,"Wrangler® Men's Hooded Pullover, Sizes S-3XL","I love this shirt. It is lightweight, soft, wash as well, and versatile.. It was a great value-so much so that I went back and bought it in other colors",5,12/27/2024,4.7
23,"Wrangler® Men's Hooded Pullover, Sizes S-3XL","I'd never worn any Wrangler clothes besides their OG jeans so I was happy to try these lightweight hoodies, and I was a little surprised at how perfect they are.  They're light but cozy, perfect for either lounging or layering.  They're thoughtfully designed and well-built, just like their jeans.  I liked it so much that I came back & got another one.",5,10/26/2024,4.7
24,"Wrangler® Men's Hooded Pullover, Sizes S-3XL",it's a light fabric I was thinking it would be a heavier duty so I didn't keep it it looked nice though,5,1/26/2025,4.7
25,"Wrangler® Men's Hooded Pullover, Sizes S-3XL","I bought this and ended up going back to buy the rest of the colors. They wash well, keep their size, and are super soft.",5,12/27/2024,4.7
26,"Wrangler® Men's Hooded Pullover, Sizes S-3XL","This shirt is comfortable, stylish, inexpensive and easy to launder.  It arrived quickly.  I actually bought it in two different colors.",5,12/17/2024,4.7
27,"Wrangler® Men's Hooded Pullover, Sizes S-3XL",I love the way it fits and looks!,5,1/2/2025,4.7
28,"Wrangler® Men's Hooded Pullover, Sizes S-3XL",Love the hood and front pocket. I bought 3.,5,1/28/2025,4.7
29,"Wrangler® Men's Hooded Pullover, Sizes S-3XL",I've worn it once and washhed it and a button is already missing,1,12/15/2024,4.7
