,product_name,review_text,product_rating,review_date,avg_rating
0,Ecetana Water Shoes for Women Men Quick Dry Beach Aqua Shoes Pool Swimming Shoes,Comfortable. Great with jeans and dresses. Dressy yet casual,5,5/29/2022,4.5813953488372094
1,Ecetana Water Shoes for Women Men Quick Dry Beach Aqua Shoes Pool Swimming Shoes,"Perfect fit, very comfortable, and I have received a lot of compliments on them.",5,11/18/2023,4.5813953488372094
2,Ecetana Water Shoes for Women Men Quick Dry Beach Aqua Shoes Pool Swimming Shoes,"Besides, baby, it was exactly what I needed. The package was complete when I received it. After opening it, I was pleasantly surprised that the baby is better than I expected! I have to give a thumbs up",5,7/7/2021,4.5813953488372094
3,Ecetana Water Shoes for Women Men Quick Dry Beach Aqua Shoes Pool Swimming Shoes,"Excellent, the only thing took on the size more, but you need what you wear, such and take. Otherwise, everything is fine. Thank you very much to the seller.",5,7/24/2021,4.5813953488372094
4,Ecetana Water Shoes for Women Men Quick Dry Beach Aqua Shoes Pool Swimming Shoes,"Perfect product, as description… Posting very fast and delivered well ahead of schedule. 15 days from purchase to delivery in mg/Br",5,11/4/2021,4.5813953488372094
5,Ecetana Water Shoes for Women Men Quick Dry Beach Aqua Shoes Pool Swimming Shoes,"Yes, I liked the goods very light and comfortable, the goods came very quickly thanks to the seller. The goods received everything perfectly.",5,7/6/2021,4.5813953488372094
6,Ecetana Water Shoes for Women Men Quick Dry Beach Aqua Shoes Pool Swimming Shoes,"I don't think so, but it's a comfortable, pretty sandal.",5,7/8/2021,4.5813953488372094
7,Ecetana Water Shoes for Women Men Quick Dry Beach Aqua Shoes Pool Swimming Shoes,To be the first time I bought I feel they filled my expectations the product came as I requested I hope they stay that way. Thanks,4,12/1/2021,4.5813953488372094
8,Ecetana Water Shoes for Women Men Quick Dry Beach Aqua Shoes Pool Swimming Shoes,"Sandals. liked, soft, light, approached well. I'll order more. The seller is happy, the order came quite quickly. Thank you.",4,7/13/2021,4.5813953488372094
9,Ecetana Water Shoes for Women Men Quick Dry Beach Aqua Shoes Pool Swimming Shoes,The shoes are very pretty but the elastic straps are so tight they are extremely uncomfortable after the first 15 minutes of wearing them.,2,12/24/2021,4.5813953488372094
10,BERANMEY Women's Suede Clogs & Mules Stylish Leather Mules with Arch Support and Cork Footbed Couple's Clogs for Women and Men,"My partner and I both love these clogs! The unisex design means we can share them, and the arch support and cork footbed provide excellent comfort for both of us. The leather material is durable, and they look great with any outfit. Definitely recommend for couples looking for stylish and supportive footwear!",5,4/29/2024,4.1
11,BERANMEY Women's Suede Clogs & Mules Stylish Leather Mules with Arch Support and Cork Footbed Couple's Clogs for Women and Men,"If you're expecting the Birkenstock  quality this is off but still a good shoe. At first out of the package there's a strong chemical smell but goes away. I've had them on all day at work and it's like wearing house shoes. 
Will purchase a second pair!",5,11/27/2024,4.1
12,BERANMEY Women's Suede Clogs & Mules Stylish Leather Mules with Arch Support and Cork Footbed Couple's Clogs for Women and Men,"The  BERANMEY mules fit perfectly.  i am a size 7, medium width, and these are comfortable with or without socks.  i ordered them on black.  happy with my purchase and delivery.",5,8/12/2024,4.1
13,BERANMEY Women's Suede Clogs & Mules Stylish Leather Mules with Arch Support and Cork Footbed Couple's Clogs for Women and Men,"Ok so these are true to size I'm a 8; I have a little wider foot. The soles are rather thin, so I would not think they will not hold up if wearing daily. They are comfortable.
I would NEVER  pay 50 bucks for them, but if you can grab a decent sale then it may be worth it, but that's my opinion.",4,12/2/2024,4.1
14,BERANMEY Women's Suede Clogs & Mules Stylish Leather Mules with Arch Support and Cork Footbed Couple's Clogs for Women and Men,"The button on the outside of the shoe fell off after 3 wears.
I had to glue it back on. Now I have glue marks around the button. The shoes are true to size %26 are comfortable. I do like the shoes, I just hate the button fell off after 3 wears.",3,12/15/2024,4.1
15,BERANMEY Women's Suede Clogs & Mules Stylish Leather Mules with Arch Support and Cork Footbed Couple's Clogs for Women and Men,"Advertised as genuine leather and are, in fact, fabric. Nice fabric, but I bought leather. These would be nice shoes for someone without tall insteps and wide feet. I also looked these up online and they were supposed to be able to run the heel strap behind the ankle, but it is way too short (see pic). Good value, but not as indicated.",1,11/22/2024,4.1
16,BERANMEY Women's Suede Clogs & Mules Stylish Leather Mules with Arch Support and Cork Footbed Couple's Clogs for Women and Men,"I will be returning these shoes. They are poorly made and one shoe has a protrusion that rubs against my foot, that will be painful walking while wearing them.

I cannot wear them and will begin the process to return them.

So disappointed, I was going to take them on my upcoming trip, but will not take or wear them now.",1,12/4/2024,4.1
17,BERANMEY Women's Suede Clogs & Mules Stylish Leather Mules with Arch Support and Cork Footbed Couple's Clogs for Women and Men,Shoes run very small. Ordered for my grandson he could not wear to small. About a size and half to small. Ok except for that. To much of a hassle to send back.,1,1/1/2025,4.1
18,BERANMEY Women's Suede Clogs & Mules Stylish Leather Mules with Arch Support and Cork Footbed Couple's Clogs for Women and Men,These are not real they sent me an imitation shoes they are not what I ordered. There is no manufacture marking on either shoe.  In the picture there is.   These look like fake leather not real leather.  No marking on what the product is.   Fake don't buy I'm returning for my money back.,1,7/20/2024,4.1
19,BERANMEY Women's Suede Clogs & Mules Stylish Leather Mules with Arch Support and Cork Footbed Couple's Clogs for Women and Men,fellapart next day literally not even glued right at the bottom %26 its foam and way too thin. the smell is so strong like plastic %26  chemical. very cheaply made very,1,12/24/2024,4.1
20,ADQ Men's Slip on Shoes Casual Shoes Lightweight Breathable Anti-Slip Sneakers,Purchased as back up work shoes for my little brother. He likes them. Says they're very comfortable. He stands on his feet 8-12 hours per day. He changes from one pair of shoes to another half way through his work shifts. His podiatrist suggested this to him because of the kind of work he does.,5,11/24/2024,4.0
21,ADQ Men's Slip on Shoes Casual Shoes Lightweight Breathable Anti-Slip Sneakers,"As an above-the-knee amputee of the left leg, and one who suffers from neuropathy, feeling of my right foot is extremely important when it comes to being able to drive. Wearing these (this) shoe is comparable to wearing a sock… With a sole! Extremely comfortable and all-day wearable. Should the manufacturer have any spare right shoes caused by defective left shoes, this customer is interested. “Let's make a deal!”",5,12/19/2024,4.0
22,ADQ Men's Slip on Shoes Casual Shoes Lightweight Breathable Anti-Slip Sneakers,I actually thought I was buying my son some sneakers and didn't know they were like house skippers with sneaker bottoms.   If looked like a pair of socks.  My said said he liked them but I was disappointed.  Maybe I didn't understand when it said breathable material.,5,12/12/2024,4.0
23,ADQ Men's Slip on Shoes Casual Shoes Lightweight Breathable Anti-Slip Sneakers,"We've now purchased 3 pairs of these comfortable shoes, 2 for my husband, one for my son-in-law.  We tried to get a pair for my son but you didn't have his size.  Will try again for his birthday!",5,1/4/2025,4.0
24,ADQ Men's Slip on Shoes Casual Shoes Lightweight Breathable Anti-Slip Sneakers,Very toxic smell when I opened the package. It smelled like an environmental tragedy in a sealed container. But they are kinda comfortable. You get what you pay for.,4,1/15/2025,4.0
25,ADQ Men's Slip on Shoes Casual Shoes Lightweight Breathable Anti-Slip Sneakers,"These are very unatructured shoes unlike the picture.  They are described as sneakers but they are more like a beach shoe.  As a beach shoe, they are nice and have a sturdy sole. If you are looking for a shoe to wear with slacks or jeans, this is not what you want. I think the description needs changed to more accurately describe the item.",3,9/16/2024,4.0
26,ADQ Men's Slip on Shoes Casual Shoes Lightweight Breathable Anti-Slip Sneakers,"Not a slip and go kind of shoes although they are designed to make you think they are so. 
The layer is so thin that even in a flight you will feel the cold. 
Otherwise the price was okay",3,1/26/2025,4.0
27,ADQ Men's Slip on Shoes Casual Shoes Lightweight Breathable Anti-Slip Sneakers,These are a ultra lightweight shoe but useless for every day use in almost any way. I bought these for work and they quickly get exposed to water and grease. The flat bottoms would gave been good to know about. They are great at being tread resistant and now are a 'around the house' or errand run shoe for me. Disappointed I bought them and I wrote this to show you dont want these.,2,1/21/2025,4.0
28,ADQ Men's Slip on Shoes Casual Shoes Lightweight Breathable Anti-Slip Sneakers,"I ordered these shoes to start my new job , they looked comfortable and I wanted to try them since they were non slip shoes . I ordered a size 10.5 and waited for them to arrive , to my surprise they sent me boat shoes , long asf and not the size I ordered . I have a fiancé though who wears size 12s in shoes and by the grace of god they fit him . So instead of me getting shoes , he got shoes .",1,1/23/2025,4.0
29,ADQ Men's Slip on Shoes Casual Shoes Lightweight Breathable Anti-Slip Sneakers,"It looks different than in the picture. It's very cheap made and was expecting something a little better than what it was. It's not even a regular sneaker. Don't like it at all.
I thought it was gonna be a sneaker tight shoe",1,8/6/2024,4.0
30,"Easy Spirit Women's E-YUNA3 Casual Shoe, Sizes 5-12",Wow! What a nice ankle boot! I normally need a wide with but medium works.The side zipper works great also and my ankles feel well protected. The boots are not clunky like some and light weight! I am very pleased with Easy Stride boots that are a pretty suede mareial with rubber soles !,5,1/18/2025,4.5
