,product_name,review_text,product_rating,review_date,avg_rating
0,OATHX Baby Music Toys Child Educational Wooden Musical Instruments for Kids Birthday Toddler Toy,Awesome package. Price great. My granddaughter loved it as did Mom and Dad. Put some away for a few months bit that just means mo ths more of enjoyment. Well made and cool. Love the tamborine!,5,1/22/2025,4.6
1,OATHX Baby Music Toys Child Educational Wooden Musical Instruments for Kids Birthday Toddler Toy,"I got this for my niece who is 2 and her 5 year old brother joined in, they played with it for an hour 
It's built sturdy and has 10 different instruments",5,12/14/2024,4.6
2,OATHX Baby Music Toys Child Educational Wooden Musical Instruments for Kids Birthday Toddler Toy,"Super Cute!!! My grandkids LOVED it! I didn't realize what a ""hit"" it would be next to all the other Xmas gifts, but it was 1 of my granddaughter's favorite toys ALL weekend!!",5,12/20/2024,4.6
3,OATHX Baby Music Toys Child Educational Wooden Musical Instruments for Kids Birthday Toddler Toy,"I purchased this for my 7 month old and she loves it (tho I think I love it more than her) some of the toys she's too young to understand how to play properly. I was a little disappointed that I didn't receive the stacking towers but I realized later that it is randomized. Almost everything is made of wood and not all of it is sanded or sealed properly. What I found amusing about it is the packaging, everything came in a different type of plastic bag I just had to mention it 😂",5,7/14/2024,4.6
4,OATHX Baby Music Toys Child Educational Wooden Musical Instruments for Kids Birthday Toddler Toy,Purchased for my nephews first birthday and he liked making noise with them. I would recommend for age 1-2.,5,1/12/2025,4.6
5,OATHX Baby Music Toys Child Educational Wooden Musical Instruments for Kids Birthday Toddler Toy,Got this for my nephew who lives out of state and his mom wasn't happy because of all the noise maker but she said he love it,5,1/7/2025,4.6
6,OATHX Baby Music Toys Child Educational Wooden Musical Instruments for Kids Birthday Toddler Toy,"This is a great little kit for your little music makers. There are bells, clickers and shakers, along with a nice tambourine and xylophone. This is a quality set for the price.",5,7/19/2024,4.6
7,OATHX Baby Music Toys Child Educational Wooden Musical Instruments for Kids Birthday Toddler Toy,Looks very cheap. Not what I expected or was hoping for where looks very cheap. Not what I expected or was hoping for. Will be returning because I'd be embarrassed to give it as a gift.,2,11/17/2024,4.6
8,OATHX Baby Music Toys Child Educational Wooden Musical Instruments for Kids Birthday Toddler Toy,"cheap quality, poor sound, my 5 %26 6 years old grandchildren took everything out %26 didn't play but 5 minutes if that. very poor sound %26 tgey had no interest in it. the triangle they lijed the best of their 5 minute playing w/ it",1,11/18/2024,4.6
9,OATHX Baby Music Toys Child Educational Wooden Musical Instruments for Kids Birthday Toddler Toy,Little wooden ball on top of the stick that is used to play the xylophone came off and my granddaughter put it in her mouth. Make sure to check and ensure they were glued correctly and will stay connected to the stick.,1,12/5/2023,4.6
10,"Battat Croco Pop Piano Toy Keyboard with Songs Sounds Lights, Baby and Toddler Toys","My son's favorite Christmas gift. He was so entertained by every aspect of the piano. From the eyes being able to be spun, to the characters moving when you play the piano, and the silly noise settings. He has been non stop with it since he opened it. I also like the bare minimum packaging it comes with!!",5,12/30/2024,4.8
11,"Battat Croco Pop Piano Toy Keyboard with Songs Sounds Lights, Baby and Toddler Toys",this is an awesome little toy I like how the animals on the inside go up with every press of the piano it makes it interactive and fun cute music. the kids will love it,5,11/5/2024,4.8
12,"Battat Croco Pop Piano Toy Keyboard with Songs Sounds Lights, Baby and Toddler Toys","Well made, heavy enough to no tip over, feels like heavy duty built! Was larger than I expected and just perfect for our 1 %26 1/2 year old for Christmas! Very cute!",5,12/4/2024,4.8
13,"Battat Croco Pop Piano Toy Keyboard with Songs Sounds Lights, Baby and Toddler Toys",My now 5 year old kept eyeballing this toy and playing with it in the store. I ended up buying it as a surprise for one of his birthday presents. He has two younger siblings. This toy was a hit with all 3 of them :),5,11/26/2024,4.8
14,"Battat Croco Pop Piano Toy Keyboard with Songs Sounds Lights, Baby and Toddler Toys",I think the one i was sent was just used and the motor died because this one works great im so happy i requested for a replacement not a refund because my niece is going to love this,5,10/28/2024,4.8
